iter	Passed	Remaining
0	1	110
1	2	98
2	2	91
3	3	83
4	4	81
5	5	79
6	6	79
7	7	82
8	8	81
9	8	80
10	9	78
11	10	76
12	11	75
13	12	76
14	13	77
15	14	77
16	15	77
17	16	76
18	17	75
19	18	75
20	19	74
21	20	73
22	21	73
23	22	72
24	23	71
25	25	71
26	26	70
27	27	70
28	28	68
29	29	67
30	30	66
31	31	66
32	32	65
33	33	64
34	33	62
35	34	61
36	35	60
37	36	60
38	37	59
39	38	58
40	39	56
41	39	55
42	40	53
43	41	52
44	42	51
45	43	50
46	44	50
47	45	49
48	46	47
49	46	46
50	47	45
51	48	45
52	50	44
53	51	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	58	37
61	58	36
62	59	35
63	60	34
64	62	33
65	63	32
66	64	31
67	64	30
68	65	29
69	66	28
70	67	27
71	69	26
72	70	25
73	70	24
74	71	23
75	72	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	81	16
83	82	15
84	82	14
85	83	13
86	85	12
87	86	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
